'ID строки','ID клиента','Дата рождения','Пол','ID заключенных договоров','ФИО'
'1',101,'07.07.1951','F',8001,Иванова И.И.
'2',102,'27.07.1981','F',8002,Петрова П.П.
'3',103,'20.01.198','F',8003,Сидорова С.С.
'4',104,,'F',8004,Норенкова И. П.
'5',105,'07.04.1991','M',8005,Строганов Д. Т.
'6',106,'26.06.1953','F',8006,Хомякова К. С.
'7',107,'04.09.1983','F',8007,Синичкина  А.А.
'8',108,'31.07.1976','M',8008,Протопопов В. В.
'9',109,'25.01.1976','F',8009,Зимакова И. Ф.
'10',110,'06.11.1982','F',8010,Зимакова И. Ф.
'11',111,'25.05.1958','F',8011,Горбунова С. В.
'12',112,'26.09.1990','M',8012,Киселёв М. И.
'13',113,'05.08.1960','F',8013,Киселёва М. Н.
'14',114,'01.03.1984','M',8014,Белов С. Н.
'15',115,'24.01.1951','F',8015,Крушняк Н. Т.
'16',116,'25.10.1961','M',8016, Кукушкин Н. Ю.
'17',117,'15.04.1944','F',8017,Пышкина Э. П.
'18',118,'17.10.1972','F',8018,Белова С. Н.
'19',119,'13.01.1950','M',8019, Страусов Л. Г.
'20',120,'02.07.1968','M',8020,Мартышкин К. К.
'21',121,'28.10.1956','F',8021,Карандашкина О. А.
'22',122,'28.10.1956','F',8022,Солнцева Н. Н.
'23',123,'27.04.1971','F',8023,Ручкина К. Д.
'24',124,'23.04.1982','F',8024,Курочкина И. О.
'25',125,'26.09.1947','M',8025, Белочка Н. С.
'26',126,'02.01.1948','F',8026,Верная С. М.
'27',127,'26.12.1941','M,8027,Зайцев Г. Л.
'28',128,'11.10.1952','F',8028,Зюзева Р. Г.
'29',129,'17.03.1981','F',8029,Аксенова Е.И.
'1',101,'07.07.1951','F',8001,Иванова И.И.
'2',102,'27.07.1981','F',8002,Петрова П.П.
